title,salary,company,description,location,city,state
ecommerce data scientist - remote,120000.0,stingray direct,*3+ years of experience in data science/analytics*. *3+ years of experience with ecommerce and subscription data strongly preferred*.,['california'],california,
sr. data scientist,160000.0,amazon.com services llc,"conduct deep analyses on massive ad user and contextual data sets. drive data science (machine learning) projects end-to-end - from ideation, analysis,…","['new york', ' ny']",new york, ny
data scientist,115871.09296740998,lawrence livermore national laboratory,carry out the development of data analysis algorithms to address program and sponsor data sciences requirements. q-level clearance requires u.s. citizenship.,"['livermore', ' ca']",livermore, ca
data center operations analytics engineer,115871.09296740998,meta,acts as key data expert on operation of servers in a hyper-scale data center environment. experience with data visualization tools.,"['kansas city', ' mo']",kansas city, mo
data scientist (machine learning),115871.09296740998,decision spot,experience in data wrangling using sql or similar tools. write sql or python scripts that can be used to automate data preparation process.,"['chicago', ' il']",chicago, il
research associate - test science,115871.09296740998,institute for defense analyses,"candidates must have a master’s degree (or equivalent experience) in data science, statistics, research psychology, human-systems engineering, computer science…","['alexandria', ' va']",alexandria, va
data scientist i (contractor),115871.09296740998,"novavax, inc.",develop data wrangling/etl pipelines for more efficient and repeatable data science projects. you will be creating value from data assets using advanced…,"['gaithersburg', ' md']",gaithersburg, md
data scientist,115871.09296740998,oscar health,you use data science tools like sql and python. create strong partnerships with internal teams at oscar to build out and leverage key data science insights that…,"['new york', ' ny']",new york, ny
data scientist,115871.09296740998,lacework,this individual would be a leader in the definition and development of the data science & data engineering ecosystem at lacework and be an integral part of…,"['san jose', ' ca']",san jose, ca
data engineer,115871.09296740998,cincinnati reds,"engage and collaborate with business analysts to find opportunities, understand requirements, and translate requirements into technical data science solutions.","['cincinnati', ' oh']",cincinnati, oh
remote data scientist (credit risk),90000.0,piper companies,"create risk models with existing data and perform risk analysis. keywords: data scientist, risk data scientist, credit risk, risk, remote, remotely, remote work…",['remote'],remote,
